persona_id,source,psid_index,latent_ability,group,name,email,trait_Age,trait_Sex,trait_Education,trait_Class of Worker,trait_Marital Status,trait_Place of Birth,trait_Big Five Scores 1,trait_Big Five Scores 2,trait_Defining Quirks,trait_Personal Time,trait_Lifestyle,trait_Political Views,trait_Fertility,trait_Income Bracket,trait_Housing Situation,trait_Relationship with Technology,trait_Hobbies,trait_Communication Style,trait_Risk Tolerance,trait_Travel Frequency,trait_Pet Ownership,trait_Prior Occupation,trait_Industry
84,psid,83,-0.5718101955951689,,,,40,Female,Bachelor's Degree,Private,Divorced,Canada,High openness,High conscientiousness,Introverted,Cooking,Workaholic,Republican,Has children,Middle income,Rents,Tech-savvy,Photography,Open,Risk-averse,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
85,psid,7,0.9966824077184603,,,,40,Male,Master's Degree,Public,Married,New York,High conscientiousness,High openness,Loves puzzles,Reading,Workaholic,Independent,Does not have children,Middle income,Rents,Tech-savvy,Hiking,Direct,High risk-taker,Rare traveler,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
86,psid,24,0.17389855342224653,,,,36,Female,Master's Degree,Private,Divorced,New Jersey,High neuroticism,High openness,Extremely organized,Playing sports,Sedentary,Republican,Undecided,Middle income,Owns home,Tech-savvy,Gardening,Direct,High risk-taker,Rare traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
87,psid,60,-0.3663621124522252,,,,26,Female,Bachelor's Degree,Private,Divorced,Pennsylvania,High agreeableness,High openness,Very social,Gaming,Balanced,Libertarian,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Direct,High risk-taker,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
88,psid,66,0.23068787978759656,,,,40,Male,Bachelor's Degree,Private,Married,Canada,High neuroticism,High openness,Extremely organized,Playing sports,Balanced,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Direct,Risk-averse,Occasional traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
89,psid,26,-1.955634528583974,,,,40,Male,Bachelor's Degree,Private,Divorced,New York,High neuroticism,High extraversion,Loves puzzles,Gaming,Workaholic,Democrat,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Open,Moderate risk-taker,Never travels,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
90,psid,27,0.8721781366324894,,,,31,Female,Bachelor's Degree,Private,Single,Canada,High neuroticism,High openness,Loves puzzles,Gaming,Active,Republican,Undecided,Middle income,Rents,Tech-savvy,Photography,Diplomatic,Risk-averse,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
91,psid,36,0.4155410145622078,,,,32,Male,Associate's Degree,Private,Divorced,California,High extraversion,High agreeableness,Introverted,Reading,Laid-back,Independent,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Risk-averse,Never travels,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
92,psid,59,-1.2322690425461515,,,,36,Female,Master's Degree,Public,Divorced,Canada,High extraversion,High openness,Loves puzzles,Reading,Balanced,Republican,Has children,Middle income,Rents,Tech-savvy,Hiking,Diplomatic,Moderate risk-taker,Frequent traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
93,psid,42,-2.307747964729739,,,,29,Male,Bachelor's Degree,Private,Divorced,Pennsylvania,High neuroticism,High conscientiousness,Loves puzzles,Cooking,Active,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Crafting,Open,Risk-averse,Rare traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
94,psid,27,-0.7811293749138448,,,,31,Female,Bachelor's Degree,Private,Divorced,Pennsylvania,High neuroticism,High extraversion,Loves puzzles,Playing sports,Sedentary,Democrat,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
95,psid,25,1.3694507459666252,,,,39,Male,Bachelor's Degree,Private,Divorced,Canada,High openness,High openness,Introverted,Cooking,Workaholic,Independent,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Direct,Moderate risk-taker,Never travels,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
96,psid,39,0.06894643628699387,,,,37,Male,Master's Degree,Private,Single,California,High extraversion,High openness,Very social,Playing sports,Sedentary,Libertarian,Undecided,Middle income,Rents,Tech-savvy,Hiking,Reserved,Risk-averse,Rare traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
97,psid,84,1.4366603771053978,,,,42,Male,Associate's Degree,Public,Married,Pennsylvania,High conscientiousness,High agreeableness,Very social,Cooking,Balanced,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Photography,Diplomatic,High risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
98,psid,10,0.035124372122510156,,,,41,Male,Associate's Degree,Private,Divorced,Connecticut,High openness,High openness,Very social,Reading,Balanced,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,Risk-averse,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
99,psid,67,1.3825902096066907,,,,33,Male,Bachelor's Degree,Self-Employed,Married,California,High openness,High neuroticism,Loves puzzles,Reading,Sedentary,Democrat,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Open,Risk-averse,Rare traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
100,psid,59,0.7022351320012177,,,,36,Female,Master's Degree,Private,Single,Florida,High conscientiousness,High neuroticism,Extremely organized,Cooking,Workaholic,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Humorous,Moderate risk-taker,Never travels,No pets,Management analysts,"Professional, Scientific, and Technical Services"
101,psid,0,-0.8602598184349692,,,,38,Female,Bachelor's Degree,Private,Divorced,New York,High neuroticism,High conscientiousness,Very social,Reading,Workaholic,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Reserved,Risk-averse,Occasional traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
102,psid,51,0.6167608394323565,,,,31,Male,Bachelor's Degree,Private,Divorced,California,High openness,High extraversion,Loves puzzles,Traveling,Sedentary,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Photography,Reserved,Moderate risk-taker,Occasional traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
103,psid,10,-0.2574376766247237,,,,41,Male,Associate's Degree,Private,Divorced,New York,High extraversion,High conscientiousness,Always punctual,Cooking,Balanced,Libertarian,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Direct,Risk-averse,Rare traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
104,psid,50,1.7155126826209606,,,,42,Male,Master's Degree,Private,Single,New Jersey,High agreeableness,High extraversion,Loves puzzles,Cooking,Sedentary,Green,Has children,Middle income,Rents,Tech-savvy,Photography,Reserved,Risk-averse,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
105,psid,0,0.18374023377354598,,,,38,Female,Bachelor's Degree,Private,Single,New Jersey,High extraversion,High conscientiousness,Very social,Reading,Balanced,Democrat,Has children,Middle income,Rents,Tech-savvy,Hiking,Humorous,High risk-taker,Frequent traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
106,psid,60,0.27420563205385173,,,,26,Female,Bachelor's Degree,Private,Divorced,California,High conscientiousness,High neuroticism,Introverted,Cooking,Active,Democrat,Has children,Middle income,Rents,Tech-savvy,Crafting,Reserved,Risk-averse,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
107,psid,58,2.251293062946302,,,,38,Male,Master's Degree,Private,Married,Canada,High agreeableness,High conscientiousness,Introverted,Reading,Balanced,Democrat,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Open,High risk-taker,Never travels,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
108,psid,84,-1.0063704413489643,,,,42,Male,Associate's Degree,Private,Single,Pennsylvania,High agreeableness,High extraversion,Introverted,Cooking,Balanced,Green,Undecided,Middle income,Rents,Tech-savvy,Hiking,Open,Risk-averse,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
109,psid,48,0.009490113036738995,,,,35,Male,Bachelor's Degree,Private,Married,Connecticut,High conscientiousness,High neuroticism,Extremely organized,Playing sports,Active,Independent,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Open,High risk-taker,Occasional traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
110,psid,7,-0.6913346854462117,,,,40,Male,Master's Degree,Public,Married,California,High neuroticism,High openness,Very social,Cooking,Balanced,Independent,Has children,Middle income,Rents,Tech-savvy,Photography,Reserved,Moderate risk-taker,Frequent traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
111,psid,58,0.9063390371884217,,,,38,Male,Master's Degree,Private,Single,California,High agreeableness,High conscientiousness,Always punctual,Cooking,Balanced,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Open,High risk-taker,Occasional traveler,Owns a dog,Biological and life scientists,"Professional, Scientific, and Technical Services"
112,psid,68,-0.1654803310400626,,,,44,Male,Bachelor's Degree,Private,Single,California,High extraversion,High extraversion,Very social,Playing sports,Sedentary,Democrat,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Humorous,High risk-taker,Rare traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
113,psid,25,0.4504443280113944,,,,39,Male,Bachelor's Degree,Private,Married,Pennsylvania,High agreeableness,High openness,Always punctual,Playing sports,Workaholic,Independent,Undecided,Middle income,Rents,Tech-savvy,Gardening,Humorous,High risk-taker,Rare traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
114,psid,84,1.687331551375436,,,,42,Male,Associate's Degree,Public,Divorced,Canada,High neuroticism,High extraversion,Loves puzzles,Playing sports,Balanced,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Humorous,Risk-averse,Rare traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
115,psid,65,0.9459708901866857,,,,42,Male,Master's Degree,Public,Single,Pennsylvania,High extraversion,High openness,Always punctual,Gaming,Balanced,Green,Planning to have children,Middle income,Rents,Tech-savvy,Playing musical instruments,Diplomatic,High risk-taker,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
116,psid,39,1.7333210620569304,,,,37,Male,Master's Degree,Private,Married,Connecticut,High openness,High neuroticism,Very social,Gaming,Laid-back,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Gardening,Direct,Risk-averse,Rare traveler,Owns a dog,Biological and life scientists,"Professional, Scientific, and Technical Services"
117,psid,17,1.571695946761276,,,,35,Male,Bachelor's Degree,Private,Married,Pennsylvania,High conscientiousness,High extraversion,Loves puzzles,Traveling,Workaholic,Libertarian,Does not have children,Middle income,Owns home,Tech-savvy,Photography,Open,High risk-taker,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
118,psid,0,1.315811429712235,,,,38,Female,Bachelor's Degree,Private,Single,Canada,High openness,High agreeableness,Very social,Reading,Workaholic,Green,Has children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Humorous,High risk-taker,Occasional traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
119,psid,18,0.5213444288985638,,,,36,Female,Bachelor's Degree,Private,Single,Connecticut,High openness,High neuroticism,Extremely organized,Gaming,Workaholic,Green,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Open,High risk-taker,Rare traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
120,psid,69,-0.23725947646035517,,,,34,Male,Bachelor's Degree,Private,Single,New Jersey,High neuroticism,High openness,Very social,Cooking,Sedentary,Republican,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Direct,Moderate risk-taker,Rare traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
121,psid,42,1.5131726426731942,,,,29,Male,Bachelor's Degree,Public,Single,Connecticut,High agreeableness,High agreeableness,Always punctual,Reading,Sedentary,Democrat,Has children,Middle income,Rents,Tech-savvy,Playing musical instruments,Humorous,Moderate risk-taker,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
122,psid,5,0.8189102581650836,,,,26,Male,Bachelor's Degree,Private,Married,Connecticut,High conscientiousness,High openness,Extremely organized,Playing sports,Laid-back,Republican,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Direct,Risk-averse,Occasional traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
123,psid,58,1.7879742006553485,,,,38,Male,Master's Degree,Private,Divorced,Connecticut,High conscientiousness,High agreeableness,Extremely organized,Gaming,Workaholic,Green,Planning to have children,Middle income,Rents,Tech-savvy,Crafting,Humorous,High risk-taker,Frequent traveler,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
124,psid,59,-0.06815997181176858,,,,36,Female,Master's Degree,Private,Single,New York,High openness,High agreeableness,Always punctual,Gaming,Balanced,Republican,Has children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Direct,Moderate risk-taker,Rare traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
125,psid,50,2.723359431510357,,,,42,Male,Master's Degree,Private,Divorced,Florida,High agreeableness,High agreeableness,Loves puzzles,Cooking,Balanced,Democrat,Does not have children,Middle income,Rents,Tech-savvy,Playing musical instruments,Reserved,High risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
126,psid,7,1.4289872413058373,,,,40,Male,Master's Degree,Public,Divorced,New Jersey,High extraversion,High neuroticism,Introverted,Playing sports,Workaholic,Libertarian,Does not have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Reserved,Moderate risk-taker,Never travels,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
127,psid,31,-0.09768597301547977,,,,37,Male,Associate's Degree,Private,Single,Pennsylvania,High neuroticism,High neuroticism,Loves puzzles,Cooking,Workaholic,Republican,Planning to have children,Middle income,Rents,Tech-savvy,Playing musical instruments,Humorous,Risk-averse,Rare traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
128,psid,82,0.04629886750068779,,,,43,Male,Master's Degree,Private,Married,New Jersey,High conscientiousness,High extraversion,Extremely organized,Cooking,Active,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,Moderate risk-taker,Rare traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
129,psid,59,-0.1452629239728075,,,,36,Female,Master's Degree,Public,Married,California,High neuroticism,High extraversion,Always punctual,Gaming,Workaholic,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Humorous,Moderate risk-taker,Frequent traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
130,psid,36,0.9656720011247238,,,,32,Male,Associate's Degree,Public,Single,Canada,High openness,High openness,Extremely organized,Reading,Laid-back,Democrat,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Diplomatic,High risk-taker,Never travels,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
131,psid,30,-0.4780806335780486,,,,42,Male,Bachelor's Degree,Private,Married,Pennsylvania,High agreeableness,High openness,Very social,Cooking,Sedentary,Libertarian,Has children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Moderate risk-taker,Occasional traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
132,psid,46,0.3074026803291228,,,,37,Female,Bachelor's Degree,Private,Single,California,High agreeableness,High conscientiousness,Loves puzzles,Traveling,Workaholic,Independent,Has children,Middle income,Rents,Tech-savvy,Gardening,Diplomatic,Risk-averse,Occasional traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
133,psid,26,1.7017438431434042,,,,40,Male,Bachelor's Degree,Private,Married,Canada,High conscientiousness,High agreeableness,Introverted,Cooking,Laid-back,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Reserved,Risk-averse,Frequent traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
134,psid,67,1.4593598732351396,,,,33,Male,Bachelor's Degree,Private,Single,California,High openness,High agreeableness,Loves puzzles,Reading,Workaholic,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Photography,Humorous,Risk-averse,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
135,psid,4,1.5417846763865637,,,,37,Male,Master's Degree,Private,Single,New York,High agreeableness,High conscientiousness,Loves puzzles,Gaming,Laid-back,Democrat,Planning to have children,Middle income,Rents,Tech-savvy,Crafting,Open,Risk-averse,Frequent traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
136,psid,60,-0.915805288936868,,,,26,Female,Bachelor's Degree,Private,Divorced,New Jersey,High openness,High conscientiousness,Loves puzzles,Cooking,Laid-back,Libertarian,Has children,Middle income,Rents,Tech-savvy,Gardening,Open,High risk-taker,Never travels,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
137,psid,18,-0.8251278529596902,,,,36,Female,Bachelor's Degree,Private,Married,Florida,High conscientiousness,High conscientiousness,Very social,Cooking,Sedentary,Democrat,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Open,Risk-averse,Frequent traveler,Owns a cat,Management analysts,"Professional, Scientific, and Technical Services"
138,psid,41,0.7567730554412757,,,,33,Male,Master's Degree,Private,Divorced,Connecticut,High conscientiousness,High agreeableness,Introverted,Reading,Sedentary,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Playing musical instruments,Open,Moderate risk-taker,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
139,psid,69,1.063179405493822,,,,34,Male,Bachelor's Degree,Private,Married,Canada,High conscientiousness,High extraversion,Loves puzzles,Gaming,Sedentary,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Reserved,High risk-taker,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
140,psid,66,0.01304992606707761,,,,40,Male,Bachelor's Degree,Private,Divorced,Pennsylvania,High agreeableness,High extraversion,Introverted,Gaming,Active,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Gardening,Diplomatic,High risk-taker,Frequent traveler,No pets,Management analysts,"Professional, Scientific, and Technical Services"
141,psid,23,0.2013340304978119,,,,39,Male,Bachelor's Degree,Private,Married,New York,High openness,High extraversion,Loves puzzles,Traveling,Workaholic,Green,Undecided,Middle income,Owns home,Tech-savvy,Crafting,Diplomatic,High risk-taker,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
142,psid,5,-0.1068397576171371,,,,26,Male,Bachelor's Degree,Private,Divorced,New Jersey,High openness,High agreeableness,Loves puzzles,Playing sports,Sedentary,Green,Has children,Middle income,Owns home,Tech-savvy,Crafting,Humorous,High risk-taker,Never travels,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
143,psid,28,1.3451326976669167,,,,40,Female,Master's Degree,Private,Single,Canada,High conscientiousness,High neuroticism,Extremely organized,Playing sports,Laid-back,Independent,Has children,Middle income,Owns home,Tech-savvy,Crafting,Reserved,Risk-averse,Never travels,Owns a dog,Operations and systems researchers and analysts,"Professional, Scientific, and Technical Services"
144,psid,52,0.21008919346746407,,,,26,Female,Bachelor's Degree,Private,Single,Canada,High openness,High neuroticism,Very social,Cooking,Workaholic,Republican,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Direct,Moderate risk-taker,Never travels,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
145,psid,0,0.041300208356561396,,,,38,Female,Bachelor's Degree,Private,Married,Connecticut,High conscientiousness,High openness,Loves puzzles,Gaming,Laid-back,Libertarian,Does not have children,Middle income,Owns home,Tech-savvy,Gardening,Open,Risk-averse,Never travels,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
146,psid,64,0.19013089737817723,,,,44,Male,Master's Degree,Private,Divorced,New York,High extraversion,High extraversion,Very social,Traveling,Laid-back,Republican,Has children,Middle income,Rents,Tech-savvy,Photography,Diplomatic,High risk-taker,Never travels,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
147,psid,32,0.8476283941656639,,,,31,Male,Bachelor's Degree,Private,Divorced,Pennsylvania,High neuroticism,High conscientiousness,Introverted,Reading,Balanced,Democrat,Has children,Middle income,Owns home,Tech-savvy,Crafting,Direct,High risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
148,psid,82,0.6048734938934187,,,,43,Male,Master's Degree,Private,Single,New Jersey,High openness,High neuroticism,Always punctual,Traveling,Sedentary,Democrat,Undecided,Middle income,Rents,Tech-savvy,Photography,Reserved,Moderate risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
149,psid,68,1.2268165525456087,,,,44,Male,Bachelor's Degree,Private,Married,Connecticut,High openness,High agreeableness,Introverted,Reading,Laid-back,Libertarian,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Open,Moderate risk-taker,Rare traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
150,psid,66,-0.6899237585001545,,,,40,Male,Bachelor's Degree,Private,Single,Pennsylvania,High agreeableness,High agreeableness,Very social,Reading,Balanced,Independent,Does not have children,Middle income,Owns home,Tech-savvy,Hiking,Open,High risk-taker,Rare traveler,No pets,Management analysts,"Professional, Scientific, and Technical Services"
151,psid,25,1.7928602637403253,,,,39,Male,Bachelor's Degree,Private,Single,New Jersey,High conscientiousness,High agreeableness,Extremely organized,Playing sports,Laid-back,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Photography,Direct,High risk-taker,Occasional traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
152,psid,50,-0.12258061602619474,,,,42,Male,Master's Degree,Private,Divorced,Pennsylvania,High openness,High openness,Introverted,Playing sports,Workaholic,Libertarian,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Reserved,High risk-taker,Rare traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
153,psid,43,-0.79272923822197,,,,34,Male,Master's Degree,Private,Single,New York,High agreeableness,High neuroticism,Always punctual,Cooking,Sedentary,Independent,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Direct,High risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
154,psid,5,0.7366533954715082,,,,26,Male,Bachelor's Degree,Public,Married,Florida,High neuroticism,High extraversion,Very social,Playing sports,Laid-back,Independent,Undecided,Middle income,Rents,Tech-savvy,Gardening,Open,High risk-taker,Frequent traveler,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
155,psid,7,2.055067068369751,,,,40,Male,Master's Degree,Public,Married,Pennsylvania,High agreeableness,High extraversion,Very social,Traveling,Laid-back,Republican,Undecided,Middle income,Rents,Tech-savvy,Gardening,Diplomatic,Moderate risk-taker,Rare traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
156,psid,50,0.695521384256778,,,,42,Male,Master's Degree,Private,Married,Canada,High openness,High agreeableness,Loves puzzles,Traveling,Sedentary,Democrat,Has children,Middle income,Owns home,Tech-savvy,Crafting,Humorous,Risk-averse,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
157,psid,58,-0.5324579137788643,,,,38,Male,Master's Degree,Public,Single,New York,High openness,High openness,Introverted,Cooking,Active,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Photography,Reserved,High risk-taker,Never travels,No pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
158,psid,69,2.8072636001195073,,,,34,Male,Bachelor's Degree,Public,Single,New Jersey,High openness,High extraversion,Loves puzzles,Reading,Balanced,Democrat,Does not have children,Middle income,Owns home,Tech-savvy,Photography,Open,High risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
159,psid,25,0.18685424001488565,,,,39,Male,Bachelor's Degree,Private,Single,New York,High agreeableness,High neuroticism,Introverted,Reading,Workaholic,Republican,Has children,Middle income,Owns home,Tech-savvy,Photography,Direct,Moderate risk-taker,Frequent traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
160,psid,84,0.25063226463485194,,,,42,Male,Associate's Degree,Private,Single,Pennsylvania,High extraversion,High openness,Always punctual,Gaming,Active,Green,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Direct,Risk-averse,Never travels,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
161,psid,66,0.654439823312755,,,,40,Male,Bachelor's Degree,Private,Married,Canada,High neuroticism,High openness,Extremely organized,Cooking,Sedentary,Libertarian,Undecided,Middle income,Owns home,Tech-savvy,Playing musical instruments,Direct,Risk-averse,Never travels,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
162,psid,16,-2.0747907038263085,,,,32,Male,Bachelor's Degree,Public,Divorced,Florida,High extraversion,High neuroticism,Loves puzzles,Cooking,Active,Libertarian,Does not have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Open,High risk-taker,Occasional traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
163,psid,32,1.600927341483693,,,,31,Male,Bachelor's Degree,Private,Married,Florida,High openness,High neuroticism,Always punctual,Cooking,Active,Democrat,Has children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Rare traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
164,psid,51,1.1799296479926393,,,,31,Male,Bachelor's Degree,Public,Single,New York,High neuroticism,High neuroticism,Always punctual,Gaming,Laid-back,Green,Planning to have children,Middle income,Rents,Tech-savvy,Photography,Diplomatic,Moderate risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
165,psid,16,0.667827506454912,,,,32,Male,Bachelor's Degree,Private,Single,Florida,High openness,High agreeableness,Introverted,Traveling,Balanced,Republican,Has children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Never travels,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
166,psid,45,-0.49955808227878346,,,,44,Male,Bachelor's Degree,Private,Divorced,Florida,High neuroticism,High conscientiousness,Extremely organized,Gaming,Workaholic,Libertarian,Planning to have children,Middle income,Rents,Tech-savvy,Hiking,Open,Risk-averse,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
167,psid,5,0.28876473409557185,,,,26,Male,Bachelor's Degree,Private,Married,Pennsylvania,High agreeableness,High openness,Introverted,Traveling,Laid-back,Republican,Undecided,Middle income,Rents,Tech-savvy,Photography,Direct,Risk-averse,Frequent traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
168,psid,7,1.8736324306799217,,,,40,Male,Master's Degree,Private,Married,Canada,High extraversion,High conscientiousness,Loves puzzles,Cooking,Laid-back,Democrat,Has children,Middle income,Rents,Tech-savvy,Hiking,Humorous,High risk-taker,Never travels,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
169,psid,71,0.4584081061296843,,,,40,Male,Bachelor's Degree,Public,Single,New York,High openness,High extraversion,Loves puzzles,Reading,Laid-back,Independent,Has children,Middle income,Rents,Tech-savvy,Gardening,Direct,Moderate risk-taker,Frequent traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
